layer,kind,tensor,type,cols,rows,batch,calls,ms
8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,1,16,41.802874
8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,1,16,42.704416
9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,1,16,15.691941
9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,1,16,15.577426
9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,1,16,15.691089
9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,1,16,16.048076
9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,1,16,41.792550
9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,1,16,41.881572
9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,1,16,42.724220
10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,1,16,15.653676
10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,1,16,15.638561
10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,1,16,15.764075
10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,1,16,16.011521
10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,1,16,41.846973
10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,1,16,41.923220
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,1,16,42.660404
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,1,16,15.627299
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,1,16,15.618505
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,1,16,15.673024
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,1,16,16.111436
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,1,16,41.931629
11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,1,16,41.872615
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,1,16,42.902363
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,1,16,15.688786
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,1,16,15.699709
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,1,16,15.611486
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,1,16,16.109259
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,1,16,41.819534
12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,1,16,41.744069
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,1,16,46.190995
13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,1,16,15.700220
13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,1,16,15.705817
13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,1,16,16.167777
13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,1,16,16.003273
13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,1,16,41.785560
13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,1,16,41.933591
13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,1,16,42.746016
14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,1,16,15.612545
14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,1,16,15.575301
14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,1,16,15.609818
14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,1,16,16.011928
