layer,kind,tensor,type,cols,rows,batch,calls,ms
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,1,16,42.745729
13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,1,16,15.980566
13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,1,16,15.992228
13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,1,16,16.005599
13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,1,16,16.047206
13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,1,16,42.125614
13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,1,16,42.219441
13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,1,16,42.782508
14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,1,16,15.959132
14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,1,16,15.941303
14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,1,16,15.925620
14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,1,16,16.115144
